student_id,gender,age,attendance,study_hours,assignment_score,internal_marks,previous_marks,backlogs,extracurricular,final_result
HIS0430,Female,21,87,5.2,88,90,65,1,Yes,Excellent
HIS0431,Female,18,65,1.3,53,59,44,3,Yes,Poor
HIS0432,Male,18,74,3.8,57,62,62,1,Yes,Average
HIS0433,Male,23,46,1.5,34,49,33,3,No,At Risk
HIS0434,Female,19,46,1.6,32,45,34,2,No,At Risk
HIS0435,Female,20,98,5.7,100,97,91,0,No,Excellent
HIS0436,Male,21,77,4.6,87,83,73,0,Yes,Good
HIS0437,Female,19,97,7.0,95,98,91,0,Yes,Excellent
HIS0438,Female,18,43,1.3,49,38,42,3,No,At Risk
HIS0439,Male,22,77,3.7,63,64,68,1,No,Average
HIS0440,Male,18,89,5.6,75,73,71,1,No,Excellent
HIS0441,Female,18,50,2.6,44,55,59,2,Yes,Poor
HIS0442,Male,23,62,3.8,67,67,69,2,No,Average
HIS0443,Male,21,90,4.9,76,86,74,0,Yes,Excellent
HIS0444,Female,22,76,4.7,90,70,70,0,No,Excellent
HIS0445,Female,19,62,2.2,56,40,42,1,No,Poor
HIS0446,Male,20,67,3.8,61,69,62,2,Yes,Average
HIS0447,Female,22,33,1.3,46,39,40,2,No,At Risk
HIS0448,Male,20,62,2.1,47,50,54,3,No,Poor
HIS0449,Male,22,93,5.2,92,92,90,0,No,Excellent
HIS0450,Female,19,67,2.9,67,65,52,2,Yes,Average
HIS0451,Female,18,83,4.4,76,85,88,0,Yes,Excellent
HIS0452,Female,21,81,5.7,89,81,69,0,Yes,Excellent
HIS0453,Female,20,86,7.5,96,95,95,0,No,Excellent
HIS0454,Male,20,79,4.1,83,85,82,0,No,Excellent
HIS0455,Female,21,99,5.9,85,85,86,0,Yes,Excellent
HIS0456,Male,20,65,3.6,62,63,65,2,No,Average
HIS0457,Male,21,56,1.8,51,51,52,2,No,At Risk
HIS0458,Male,20,78,5.4,77,87,78,1,Yes,Good
HIS0459,Male,20,90,6.3,89,95,95,0,No,Excellent
HIS0460,Female,19,90,5.2,93,100,100,0,No,Excellent
HIS0461,Male,21,77,3.7,63,66,50,1,Yes,Average
HIS0462,Male,20,50,1.5,35,39,41,4,No,At Risk
HIS0463,Female,23,39,1.2,34,35,50,4,No,At Risk
HIS0464,Female,19,87,5.5,92,95,90,0,No,Excellent
HIS0465,Male,22,61,2.5,56,54,53,1,Yes,Poor
HIS0466,Male,20,83,5.9,72,76,70,1,Yes,Good
HIS0467,Male,17,31,0.5,42,46,32,2,No,At Risk
HIS0468,Male,17,59,1.5,49,54,60,1,Yes,Poor
HIS0469,Male,21,96,7.6,95,100,94,0,No,Excellent
HIS0470,Male,23,44,1.4,50,48,43,4,No,At Risk
HIS0471,Male,19,99,5.9,98,93,84,0,Yes,Excellent
HIS0472,Male,23,75,3.6,70,70,59,0,No,Good
HIS0473,Male,19,96,5.6,98,97,87,0,No,Excellent
HIS0474,Male,18,98,6.9,93,94,100,0,No,Excellent
HIS0475,Female,17,84,4.2,84,89,79,1,No,Good
HIS0476,Female,22,76,5.9,70,75,68,1,No,Good
HIS0477,Female,19,92,5.3,85,100,86,0,No,Excellent
HIS0478,Female,18,51,1.7,44,41,48,2,Yes,At Risk
HIS0479,Male,22,83,5.6,70,73,89,0,No,Excellent
HIS0480,Male,22,91,6.4,88,91,95,0,No,Excellent
HIS0481,Male,22,88,5.8,94,91,91,0,Yes,Excellent
HIS0482,Male,21,60,1.0,48,58,43,2,Yes,At Risk
HIS0483,Female,23,54,1.7,42,47,45,2,Yes,Poor
HIS0484,Female,23,86,6.1,89,88,84,0,Yes,Excellent
HIS0485,Female,21,56,1.0,52,51,44,2,Yes,At Risk
HIS0486,Female,19,77,4.1,61,73,55,2,No,Average
HIS0487,Female,20,47,0.7,46,34,44,4,No,At Risk
HIS0488,Female,18,97,7.2,85,96,99,0,No,Excellent
HIS0489,Female,17,51,1.2,47,34,49,4,No,At Risk
HIS0490,Male,17,87,5.1,89,90,81,0,Yes,Excellent
HIS0491,Male,22,97,7.0,93,86,91,0,Yes,Excellent
HIS0492,Male,23,52,1.9,60,41,51,3,No,At Risk
HIS0493,Male,21,38,1.3,32,39,32,3,Yes,At Risk
HIS0494,Female,22,56,1.4,47,58,60,1,No,Poor
HIS0495,Male,21,63,2.8,45,45,57,2,No,Poor
HIS0496,Female,23,44,1.9,40,47,40,4,No,At Risk
HIS0497,Female,20,79,2.7,72,61,62,2,No,Average
HIS0498,Male,19,50,2.5,49,59,40,3,Yes,At Risk
HIS0499,Female,19,81,5.7,70,78,82,0,Yes,Excellent
HIS0500,Female,21,79,4.5,88,77,72,1,No,Good
HIS0501,Female,17,77,5.4,85,75,80,0,No,Excellent
HIS0502,Female,17,95,6.0,98,98,83,0,Yes,Excellent
HIS0503,Male,22,76,2.1,72,73,54,1,Yes,Average
HIS0504,Female,18,64,2.5,58,56,42,1,No,Poor
HIS0505,Female,21,85,4.2,88,71,82,1,No,Good
HIS0506,Male,21,54,2.5,55,57,46,2,No,Poor
HIS0507,Male,17,53,1.3,37,32,38,5,No,At Risk
HIS0508,Male,19,63,1.7,46,50,51,3,Yes,At Risk
HIS0509,Female,18,55,1.2,34,44,31,3,Yes,At Risk
HIS0510,Female,20,88,7.2,92,89,89,0,No,Excellent
HIS0511,Female,21,50,1.7,57,46,46,3,No,At Risk
HIS0512,Male,23,75,4.8,86,71,73,0,Yes,Good
HIS0513,Female,23,38,0.6,50,30,32,5,No,At Risk
HIS0514,Male,18,85,5.9,97,92,92,0,No,Excellent
HIS0515,Female,22,89,5.1,70,71,72,1,No,Good
HIS0516,Female,23,75,4.7,81,81,85,1,Yes,Excellent
HIS0517,Male,17,93,7.6,85,93,87,0,No,Excellent
HIS0518,Male,18,57,1.8,58,44,53,2,No,Poor
HIS0519,Male,19,81,5.7,79,86,69,1,Yes,Excellent
HIS0520,Female,22,88,5.6,89,85,90,0,No,Excellent
HIS0521,Male,21,64,4.3,58,59,55,0,No,Good
HIS0522,Female,22,82,5.4,81,72,87,1,Yes,Excellent
HIS0523,Male,20,65,4.6,70,70,54,0,Yes,Good
HIS0524,Female,22,93,7.9,92,91,86,0,Yes,Excellent
HIS0525,Female,21,74,4.7,68,67,74,0,No,Good
HIS0526,Male,18,49,1.3,50,31,46,2,No,At Risk
HIS0527,Female,20,47,1.1,31,47,42,2,Yes,At Risk
HIS0528,Female,17,69,3.4,68,64,69,0,Yes,Good
HIS0529,Female,17,33,0.8,48,47,34,5,No,At Risk
HIS0530,Male,22,89,5.2,76,84,67,1,No,Excellent
HIS0531,Female,17,87,5.3,99,96,82,0,Yes,Excellent
HIS0532,Female,19,85,5.1,74,75,69,0,Yes,Excellent
HIS0533,Female,20,59,2.3,43,44,46,1,No,Poor
HIS0534,Female,20,50,2.2,55,47,46,3,No,At Risk
HIS0535,Female,17,85,5.7,93,91,81,0,Yes,Excellent
HIS0536,Female,18,76,5.3,89,79,75,0,Yes,Excellent
HIS0537,Female,17,84,5.2,89,88,90,0,No,Excellent
HIS0538,Male,17,94,6.0,97,87,93,0,No,Excellent
HIS0539,Male,20,70,3.6,71,61,72,0,Yes,Average
HIS0540,Female,18,55,2.0,39,43,49,4,No,At Risk
HIS0541,Male,17,48,1.2,50,45,45,3,Yes,At Risk
HIS0542,Female,19,85,6.4,88,91,99,0,No,Excellent
HIS0543,Female,19,55,1.5,30,50,36,4,No,At Risk
HIS0544,Male,23,47,1.0,30,33,40,4,No,At Risk
HIS0545,Male,22,81,4.7,80,85,80,0,Yes,Excellent
HIS0546,Male,18,60,1.9,53,41,56,2,No,Poor
HIS0547,Female,22,51,1.0,41,32,34,4,Yes,At Risk
HIS0548,Male,19,35,1.4,42,35,49,2,No,At Risk
HIS0549,Female,18,52,2.0,47,51,54,2,Yes,Poor
HIS0550,Male,18,96,7.4,91,87,94,0,No,Excellent
HIS0551,Male,18,75,4.2,71,64,74,1,Yes,Average
HIS0552,Female,17,99,6.2,88,85,89,0,Yes,Excellent
HIS0553,Female,21,94,5.1,94,91,90,0,Yes,Excellent
HIS0554,Male,18,74,4.0,63,59,55,1,Yes,Average
HIS0555,Female,21,41,1.3,38,34,39,3,Yes,At Risk
HIS0556,Female,17,77,3.3,59,55,65,2,Yes,Poor
HIS0557,Male,23,98,6.2,99,96,89,0,Yes,Excellent
HIS0558,Male,18,54,1.2,54,43,54,2,No,At Risk
HIS0559,Female,17,83,5.8,82,75,87,1,No,Excellent
HIS0560,Male,21,100,5.3,100,99,85,0,No,Excellent
HIS0561,Female,20,97,7.5,88,95,97,0,No,Excellent
HIS0562,Female,18,43,0.9,37,47,35,5,No,At Risk
HIS0563,Male,22,43,1.7,43,48,40,3,Yes,At Risk
HIS0564,Female,20,45,0.7,49,44,40,2,No,At Risk
HIS0565,Male,21,88,7.1,97,95,95,0,Yes,Excellent
HIS0566,Female,19,89,7.0,99,94,92,0,Yes,Excellent
HIS0567,Female,23,55,1.9,39,43,41,2,Yes,At Risk
HIS0568,Male,18,84,4.1,87,71,65,1,Yes,Good
HIS0569,Male,20,62,2.3,52,52,52,2,Yes,Poor
HIS0570,Male,17,81,5.1,81,83,69,1,Yes,Good
HIS0571,Female,23,89,7.2,100,98,84,0,Yes,Excellent
HIS0572,Female,18,63,2.2,54,56,53,3,No,Poor
HIS0573,Female,17,88,5.2,88,85,88,0,No,Excellent
HIS0574,Male,21,100,7.1,88,100,82,0,No,Excellent
HIS0575,Male,20,32,0.9,50,32,50,4,Yes,At Risk
HIS0576,Male,22,65,2.1,50,53,51,2,No,Poor
HIS0577,Male,22,53,1.0,48,38,31,5,Yes,At Risk
HIS0578,Female,18,79,2.1,70,57,54,2,Yes,Poor
HIS0579,Female,19,38,0.9,38,30,33,3,Yes,At Risk
HIS0580,Male,21,83,5.6,77,85,70,0,No,Excellent
HIS0581,Female,17,90,5.5,83,82,72,1,Yes,Excellent
HIS0582,Male,20,63,2.2,69,67,65,1,No,Average
HIS0583,Female,21,65,1.5,56,53,40,2,No,Poor
HIS0584,Female,23,88,7.8,96,98,99,0,No,Excellent
HIS0585,Male,19,93,7.0,97,99,87,0,No,Excellent
HIS0586,Female,19,30,1.5,32,30,43,2,Yes,At Risk
HIS0587,Male,21,84,4.5,71,70,84,0,Yes,Excellent
HIS0588,Female,19,88,5.3,89,97,100,0,Yes,Excellent
HIS0589,Female,23,52,2.3,48,53,50,2,Yes,At Risk
HIS0590,Female,18,97,6.2,86,93,88,0,No,Excellent
HIS0591,Male,20,42,0.8,45,33,34,5,Yes,At Risk
HIS0592,Female,18,63,2.1,57,73,73,1,No,Poor
HIS0593,Female,20,86,7.0,93,89,90,0,Yes,Excellent
HIS0594,Male,21,62,2.7,42,57,47,1,No,Poor
HIS0595,Female,17,41,1.0,39,42,31,2,No,At Risk
HIS0596,Female,17,59,2.3,45,57,41,2,Yes,Poor
HIS0597,Male,17,75,2.3,75,69,73,0,Yes,Average
HIS0598,Female,17,37,1.2,32,47,50,4,No,At Risk
HIS0599,Male,22,95,5.2,86,97,83,0,No,Excellent
HIS0600,Male,18,37,1.9,31,34,45,2,No,At Risk
HIS0601,Male,23,75,4.3,71,79,90,0,No,Excellent
HIS0602,Female,19,32,1.7,33,33,45,3,Yes,At Risk
HIS0603,Male,19,60,1.2,58,57,44,2,Yes,At Risk
HIS0604,Male,18,88,5.8,98,90,91,0,No,Excellent
HIS0605,Male,22,97,7.3,85,100,82,0,Yes,Excellent
HIS0606,Female,20,39,1.1,45,34,36,3,No,At Risk
HIS0607,Female,19,80,5.2,71,89,70,1,Yes,Excellent
HIS0608,Male,20,50,2.1,46,43,56,1,No,Poor
HIS0609,Male,22,83,4.1,73,74,86,1,No,Good
HIS0610,Female,17,86,6.9,94,91,93,0,No,Excellent
HIS0611,Male,22,86,7.8,90,90,80,0,Yes,Excellent
HIS0612,Male,22,60,1.8,50,47,43,2,Yes,At Risk
HIS0613,Female,18,56,1.8,47,42,55,3,No,At Risk
HIS0614,Male,19,89,4.4,81,74,79,0,No,Excellent
HIS0615,Female,18,76,5.4,71,78,69,0,No,Excellent
HIS0616,Male,17,67,4.7,74,60,75,2,Yes,Good
HIS0617,Female,22,65,2.7,46,58,55,2,No,Poor
HIS0618,Male,17,82,4.7,88,77,83,0,Yes,Excellent
HIS0619,Male,21,51,1.9,52,55,43,2,No,At Risk
HIS0620,Female,22,98,7.8,89,96,89,0,Yes,Excellent
HIS0621,Female,18,65,4.1,73,73,50,1,No,Average
HIS0622,Male,19,80,3.4,75,55,70,0,No,Good
HIS0623,Female,22,58,2.4,59,57,58,1,Yes,Average
HIS0624,Female,18,96,7.7,88,97,91,0,Yes,Excellent
HIS0625,Female,22,52,0.6,36,34,40,3,Yes,At Risk
HIS0626,Male,17,52,0.8,37,40,41,4,No,At Risk
HIS0627,Female,23,71,3.4,71,71,53,1,No,Average
HIS0628,Male,17,91,7.7,99,87,82,0,Yes,Excellent
HIS0629,Female,22,83,4.2,74,85,69,0,Yes,Good
HIS0630,Male,17,34,1.2,43,44,50,2,No,At Risk
HIS0631,Female,20,85,4.8,80,90,85,1,No,Excellent
HIS0632,Female,19,78,2.4,64,60,75,1,Yes,Average
HIS0633,Male,23,89,6.1,99,90,99,0,No,Excellent
HIS0634,Female,18,80,4.5,71,80,83,0,No,Good
HIS0635,Female,17,76,5.3,81,74,76,1,Yes,Excellent
HIS0636,Female,22,97,7.8,89,99,90,0,Yes,Excellent
HIS0637,Male,22,75,4.7,73,59,75,2,No,Average
HIS0638,Male,20,51,1.3,57,43,49,1,No,Poor
HIS0639,Male,17,62,3.0,74,75,56,2,Yes,Average
HIS0640,Male,22,99,7.0,87,97,86,0,No,Excellent
HIS0641,Female,19,72,2.4,68,66,62,1,Yes,Average
HIS0642,Female,18,74,4.6,57,61,73,1,No,Good
HIS0643,Female,23,63,1.3,58,59,42,1,Yes,Poor
HIS0644,Female,20,40,0.6,48,42,32,2,No,At Risk
HIS0645,Female,17,89,5.4,74,76,70,1,No,Excellent
HIS0646,Female,19,78,2.9,72,69,57,0,Yes,Average
HIS0647,Male,23,53,2.3,49,53,45,2,Yes,At Risk
HIS0648,Female,23,75,5.0,57,74,73,1,No,Good
HIS0649,Male,21,80,4.1,58,66,66,2,Yes,Average
HIS0650,Female,22,89,6.0,89,96,85,0,No,Excellent
HIS0651,Male,23,61,2.9,71,75,52,2,Yes,Average
HIS0652,Female,23,90,6.6,95,94,88,0,Yes,Excellent
HIS0653,Male,17,75,4.3,79,81,89,1,No,Good
HIS0654,Male,17,79,5.0,76,87,84,0,No,Excellent
HIS0655,Female,17,75,5.0,79,81,69,1,No,Good
HIS0656,Male,20,92,5.4,89,92,89,0,Yes,Excellent
HIS0657,Male,20,87,5.1,100,98,81,0,Yes,Excellent
HIS0658,Male,18,93,5.1,94,85,83,0,Yes,Excellent
HIS0659,Male,21,60,2.3,63,73,61,1,Yes,Average
HIS0660,Male,23,32,0.6,48,30,46,3,Yes,At Risk
HIS0661,Male,20,30,2.0,33,36,46,5,No,At Risk
HIS0662,Female,17,90,7.5,97,98,86,0,No,Excellent
HIS0663,Female,20,53,2.0,55,51,49,3,Yes,At Risk
HIS0664,Male,23,97,5.9,94,99,87,0,No,Excellent
HIS0665,Female,21,100,7.8,96,90,80,0,Yes,Excellent
HIS0666,Female,18,88,5.4,97,88,85,0,No,Excellent
HIS0667,Female,22,42,0.7,43,45,38,4,No,At Risk
HIS0668,Female,20,42,2.0,46,38,34,5,Yes,At Risk
HIS0669,Female,22,57,2.3,44,40,43,3,Yes,At Risk
HIS0670,Female,23,90,6.1,95,89,89,0,Yes,Excellent
HIS0671,Male,23,56,1.6,55,55,56,2,No,Poor
HIS0672,Female,17,98,7.6,88,97,94,0,No,Excellent
HIS0673,Female,20,90,6.7,94,90,95,0,Yes,Excellent
HIS0674,Female,20,100,7.0,100,100,97,0,Yes,Excellent
HIS0675,Male,18,42,1.4,41,39,40,2,Yes,At Risk
HIS0676,Male,20,71,4.4,73,55,74,2,No,Average
HIS0677,Male,22,71,3.2,56,62,57,0,No,Average
HIS0678,Female,21,94,5.3,90,85,97,0,Yes,Excellent
HIS0679,Female,19,43,0.9,45,48,30,4,No,At Risk
HIS0680,Female,19,33,1.7,33,36,40,5,No,At Risk
HIS0681,Female,21,56,2.0,42,57,46,2,No,At Risk
HIS0682,Male,21,57,2.2,42,58,43,3,No,At Risk
HIS0683,Female,18,45,1.1,41,32,50,4,No,At Risk
HIS0684,Male,21,62,1.5,56,54,57,1,Yes,Poor
HIS0685,Male,21,56,2.3,54,48,60,3,No,Poor
HIS0686,Female,23,86,4.9,77,74,88,1,No,Excellent
HIS0687,Male,20,91,7.5,93,94,100,0,No,Excellent
HIS0688,Female,20,78,4.3,70,77,90,1,No,Good
HIS0689,Male,22,91,5.5,89,85,88,0,Yes,Excellent
HIS0690,Female,22,50,1.1,42,50,59,2,Yes,At Risk
HIS0691,Male,18,97,7.8,89,92,83,0,No,Excellent
HIS0692,Male,18,33,1.7,40,40,48,5,Yes,At Risk
HIS0693,Female,22,90,5.6,93,99,93,0,Yes,Excellent
HIS0694,Female,23,95,6.6,100,92,88,0,No,Excellent
HIS0695,Male,19,60,3.9,74,56,73,2,Yes,Average
HIS0696,Male,20,42,1.0,41,33,47,3,No,At Risk
HIS0697,Female,23,69,2.3,62,64,56,0,No,Average
HIS0698,Female,23,51,1.5,42,55,55,3,No,At Risk
HIS0699,Male,22,90,7.1,87,96,93,0,No,Excellent
HIS0700,Male,17,89,5.6,74,70,77,0,No,Excellent
HIS0701,Female,23,82,5.0,90,74,84,1,No,Excellent
HIS0702,Female,19,83,4.3,88,80,90,1,Yes,Good
HIS0703,Female,18,87,5.8,88,77,65,0,Yes,Excellent
HIS0704,Female,18,65,2.1,74,68,69,1,Yes,Average
HIS0705,Male,18,33,0.5,46,43,44,5,Yes,At Risk
HIS0706,Male,20,69,4.2,67,59,63,0,Yes,Good
HIS0707,Female,21,88,5.6,70,79,73,0,No,Excellent
HIS0708,Female,22,52,1.0,44,50,52,3,Yes,At Risk
HIS0709,Female,21,38,0.6,47,31,31,4,Yes,At Risk
HIS0710,Female,18,52,1.6,31,30,38,5,No,At Risk
HIS0711,Male,17,31,1.4,38,35,46,5,No,At Risk
HIS0712,Female,22,76,3.3,63,58,60,0,Yes,Good
HIS0713,Male,19,73,2.8,63,74,74,1,No,Average
HIS0714,Male,18,54,2.1,60,54,41,1,Yes,Poor
HIS0715,Female,22,100,5.8,99,98,83,0,Yes,Excellent
HIS0716,Female,18,45,1.2,33,34,33,4,Yes,At Risk
HIS0717,Male,18,83,5.1,88,76,83,0,Yes,Excellent
HIS0718,Male,23,53,2.8,40,49,43,2,No,Poor
HIS0719,Male,19,64,2.1,69,70,64,2,No,Average
HIS0720,Male,21,99,6.0,89,91,81,0,No,Excellent
HIS0721,Male,18,42,0.6,38,35,37,5,Yes,At Risk
HIS0722,Female,22,62,1.6,60,44,43,2,No,Poor
HIS0723,Female,20,34,1.0,33,41,46,3,No,At Risk
HIS0724,Female,17,78,3.8,57,68,75,1,Yes,Good
HIS0725,Female,17,95,7.9,92,89,95,0,No,Excellent
HIS0726,Male,21,59,1.3,44,49,47,3,No,At Risk
HIS0727,Female,21,86,6.5,98,98,83,0,No,Excellent
HIS0728,Female,22,85,5.3,99,90,85,0,Yes,Excellent
HIS0729,Male,18,70,3.8,69,69,69,1,No,Average
HIS0730,Male,17,93,7.6,88,98,97,0,Yes,Excellent
HIS0731,Female,22,90,4.9,82,89,88,1,No,Excellent
HIS0732,Male,18,59,1.2,44,40,46,1,Yes,At Risk
HIS0733,Female,18,54,2.3,53,60,57,1,Yes,Poor
HIS0734,Female,21,63,1.0,45,44,54,2,No,At Risk
HIS0735,Female,20,81,4.6,82,71,75,0,Yes,Excellent
HIS0736,Male,21,59,1.1,52,55,56,3,No,At Risk
HIS0737,Female,21,98,6.7,87,93,100,0,No,Excellent
HIS0738,Female,20,74,4.1,55,60,59,2,Yes,Average
HIS0739,Female,20,82,5.2,80,89,87,1,Yes,Excellent
HIS0740,Female,18,75,4.4,60,74,56,1,Yes,Good
HIS0741,Male,18,81,4.3,85,73,90,1,No,Good
HIS0742,Male,23,31,2.0,41,38,41,3,Yes,At Risk
HIS0743,Female,23,95,6.3,92,88,97,0,No,Excellent
HIS0744,Female,23,61,4.3,72,63,54,2,Yes,Average
HIS0745,Male,18,53,2.9,59,59,43,3,Yes,Poor
HIS0746,Female,19,91,7.7,90,94,94,0,Yes,Excellent
HIS0747,Female,19,78,5.7,84,83,89,0,Yes,Excellent
HIS0748,Female,23,35,0.6,41,43,41,3,Yes,At Risk
HIS0749,Male,23,79,5.6,83,83,79,1,Yes,Excellent
HIS0750,Male,22,87,5.3,95,97,85,0,Yes,Excellent
HIS0751,Female,17,76,6.0,86,79,78,1,No,Excellent
HIS0752,Female,22,76,3.8,59,67,64,2,Yes,Average
HIS0753,Male,21,80,3.2,61,64,52,0,No,Average
HIS0754,Male,23,39,0.8,46,47,39,4,Yes,At Risk
HIS0755,Female,22,48,0.9,39,43,46,2,Yes,At Risk
HIS0756,Female,18,41,0.7,50,33,44,4,Yes,At Risk
HIS0757,Female,22,48,1.6,50,47,49,3,No,At Risk
HIS0758,Male,23,51,0.7,42,46,37,2,No,At Risk
HIS0759,Male,20,74,2.3,68,68,52,0,Yes,Average
HIS0760,Female,22,89,4.2,86,82,83,1,No,Excellent
HIS0761,Female,18,64,2.4,55,53,45,1,Yes,Poor
HIS0762,Female,17,46,0.7,36,44,45,2,Yes,At Risk
HIS0763,Female,19,43,0.7,41,48,39,2,Yes,At Risk
HIS0764,Female,19,69,2.9,55,59,54,2,No,Poor
HIS0765,Female,20,80,5.6,85,70,68,1,Yes,Good
HIS0766,Female,23,39,1.3,40,42,45,3,Yes,At Risk
HIS0767,Male,20,64,1.3,50,42,59,3,No,At Risk
HIS0768,Female,21,77,2.1,69,63,70,0,Yes,Average
HIS0769,Male,17,87,5.6,86,91,95,0,Yes,Excellent
HIS0770,Male,20,66,2.7,73,69,52,2,No,Average
HIS0771,Male,17,95,6.3,98,85,96,0,No,Excellent
HIS0772,Male,17,90,5.9,90,93,82,0,No,Excellent
HIS0773,Female,19,40,0.8,31,39,42,2,No,At Risk
HIS0774,Female,17,72,4.8,58,56,56,0,Yes,Good
HIS0775,Male,17,61,3.0,72,68,52,1,Yes,Average
HIS0776,Female,20,77,4.9,58,62,74,2,Yes,Average
HIS0777,Female,21,91,7.3,89,96,97,0,Yes,Excellent
HIS0778,Male,20,51,1.0,54,59,49,3,Yes,At Risk
HIS0779,Male,22,79,2.8,67,66,70,0,No,Average
HIS0780,Male,21,48,0.6,32,42,33,3,No,At Risk
HIS0781,Female,19,55,1.0,40,50,38,5,No,At Risk
HIS0782,Female,17,89,5.9,80,70,87,0,Yes,Excellent
HIS0783,Male,23,90,6.2,100,97,97,0,Yes,Excellent
HIS0784,Male,20,53,1.7,52,59,51,2,Yes,At Risk
HIS0785,Male,23,66,3.3,62,55,74,1,No,Average
HIS0786,Female,22,50,1.0,37,37,45,4,Yes,At Risk
HIS0787,Male,22,36,0.5,50,42,33,4,No,At Risk
HIS0788,Female,21,51,1.5,48,35,32,3,Yes,At Risk
HIS0789,Female,22,83,4.4,70,87,84,1,No,Good
HIS0790,Male,22,95,6.3,98,93,83,0,No,Excellent
HIS0791,Male,19,76,4.6,83,87,79,1,Yes,Good
HIS0792,Female,19,85,8.0,92,98,82,0,Yes,Excellent
HIS0793,Male,20,88,5.1,98,85,98,0,No,Excellent
HIS0794,Female,23,85,5.7,80,86,90,0,Yes,Excellent
HIS0795,Male,17,99,6.7,87,86,81,0,No,Excellent
HIS0796,Male,19,51,1.6,60,53,42,1,Yes,Poor
HIS0797,Female,20,62,1.2,53,47,59,3,Yes,At Risk
HIS0798,Male,17,53,1.7,40,54,56,2,Yes,At Risk
HIS0799,Female,22,52,0.6,36,48,34,4,No,At Risk
HIS0800,Female,21,44,0.8,34,31,31,3,No,At Risk
HIS0801,Female,19,69,3.8,72,59,54,1,No,Average
HIS0802,Female,18,60,3.6,59,56,57,2,Yes,Average
HIS0803,Female,23,81,5.6,80,76,86,1,No,Excellent
HIS0804,Female,23,48,1.9,49,39,43,4,Yes,At Risk
HIS0805,Female,22,100,5.7,85,92,87,0,Yes,Excellent
HIS0806,Male,21,72,2.6,60,55,61,0,Yes,Average
HIS0807,Female,18,89,5.9,91,96,81,0,Yes,Excellent
HIS0808,Male,23,83,5.4,80,87,72,0,Yes,Excellent
HIS0809,Female,20,63,2.1,59,67,70,0,No,Average
HIS0810,Male,18,86,5.6,75,86,90,1,Yes,Excellent
HIS0811,Male,23,81,5.1,81,80,84,1,Yes,Good
HIS0812,Female,18,39,1.7,40,37,31,4,Yes,At Risk
HIS0813,Female,18,100,7.4,87,90,96,0,No,Excellent
HIS0814,Male,18,71,3.6,70,70,65,1,No,Good
HIS0815,Male,23,81,4.9,77,82,71,1,No,Good
HIS0816,Male,20,68,3.7,59,57,59,1,No,Average
HIS0817,Female,19,49,1.0,44,44,43,5,No,At Risk
HIS0818,Female,23,50,1.4,47,48,60,1,No,At Risk
HIS0819,Female,17,46,1.3,32,38,37,2,Yes,At Risk
HIS0820,Male,23,36,1.0,40,38,39,4,Yes,At Risk
HIS0821,Male,20,38,0.5,39,39,41,5,No,At Risk
HIS0822,Female,22,54,1.9,42,37,37,3,No,At Risk
HIS0823,Female,20,60,2.6,50,46,53,3,No,At Risk
HIS0824,Female,19,30,1.1,48,34,39,2,No,At Risk
HIS0825,Male,18,88,4.9,82,87,74,1,Yes,Excellent
HIS0826,Female,17,85,5.1,89,89,83,1,No,Excellent
HIS0827,Male,17,42,0.8,33,40,48,5,No,At Risk
HIS0828,Female,19,35,0.5,49,45,30,3,Yes,At Risk
HIS0829,Male,18,82,4.6,86,72,79,0,No,Excellent
HIS0830,Female,23,73,3.2,58,59,67,1,No,Average
HIS0831,Female,21,79,5.7,79,83,87,1,Yes,Excellent
HIS0832,Male,21,89,4.6,70,74,79,0,No,Excellent
HIS0833,Female,19,78,4.6,69,69,68,0,Yes,Good
HIS0834,Female,22,72,3.8,60,68,57,0,No,Good
HIS0835,Male,22,78,4.8,71,77,70,1,No,Good
HIS0836,Female,20,90,4.8,87,73,76,0,Yes,Excellent
HIS0837,Female,20,55,1.5,56,41,54,1,Yes,Poor
HIS0838,Female,22,72,4.6,67,56,50,1,Yes,Average
HIS0839,Female,23,65,1.9,42,57,47,3,No,At Risk
HIS0840,Female,18,65,2.5,55,74,53,0,No,Average
HIS0841,Male,20,85,7.0,89,99,91,0,Yes,Excellent
HIS0842,Male,18,88,6.2,94,99,81,0,Yes,Excellent
HIS0843,Male,18,67,2.6,55,68,50,0,No,Average
HIS0844,Male,21,90,7.2,86,98,96,0,No,Excellent
HIS0845,Male,17,87,5.9,73,77,71,0,No,Excellent
HIS0846,Female,17,60,1.0,46,54,47,1,No,Poor
HIS0847,Female,22,91,6.2,100,88,97,0,No,Excellent
HIS0848,Female,20,54,1.7,60,50,55,1,No,Poor
HIS0849,Male,19,50,1.6,46,48,30,3,Yes,At Risk
HIS0850,Female,18,88,5.5,89,72,66,0,No,Excellent
HIS0851,Female,19,87,4.4,71,77,88,1,No,Good
HIS0852,Male,21,98,6.9,94,85,87,0,No,Excellent
HIS0853,Male,17,92,7.4,92,97,96,0,Yes,Excellent
HIS0854,Male,21,52,2.9,41,60,44,1,Yes,Poor
HIS0855,Male,22,55,1.9,37,46,32,5,No,At Risk
HIS0856,Male,19,82,4.8,89,77,74,1,No,Excellent
HIS0857,Female,21,52,2.9,51,52,52,1,No,Poor
HIS0858,Female,21,53,1.2,34,45,30,5,No,At Risk
HIS0859,Female,20,34,1.3,35,38,42,5,No,At Risk
